PBR.A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FALABELLA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SQM,N/A,"Sociedad Quimica y Minera S.A. ",N/A,8.68B,N/A,2/1/2017,N/A,4:02pm,N/A,+2.04%,N/A,466789,N/A,648863
SCCO,N/A,Southern Copper Corporation Com,N/A,29.84B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.63%,N/A,1862459,N/A,1256540
UGPA3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VALE.P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WALMEX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AEM,N/A,Agnico Eagle Mines Limited Comm,N/A,10.65B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.63%,N/A,1371278,N/A,2019370
AGU,N/A,Agrium Inc. Common Stock,N/A,14.18B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.27%,N/A,451951,N/A,452855
ATD.B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+0%,N/A,0,N/A,22960
BMO,N/A,Bank Of Montreal Common Stock,N/A,48.80B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.42%,N/A,487286,N/A,504785
BNS,N/A,"Bank Nova Scotia Halifax Pfd 3 ",N/A,72.16B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.08%,N/A,504439,N/A,705658
ABX,N/A,Barrick Gold Corporation Common,N/A,21.54B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.22%,N/A,16189417,N/A,19119400
BCE,N/A,"BCE, Inc. Common Stock",N/A,38.93B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.84%,N/A,1350898,N/A,918952
BB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BBD.B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAM.A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CCO,N/A,"Clear Channel Outdoor Holdings,",N/A,1.77B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.01%,N/A,56817,N/A,83540
CM,N/A,Canadian Imperial Bank of Comme,N/A,34.10B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.76%,N/A,443579,N/A,656614
CNR,N/A,China Metro-Rural Holdings Limi,N/A,N/A,N/A,8/17/2016,N/A,2:56pm,N/A,+0.0000%,N/A,0,N/A,N/A
CNQ,N/A,Canadian Natural Resources Limi,N/A,33.32B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.33%,N/A,2041106,N/A,2635650
CP,N/A,Canadian Pacific Railway Limite,N/A,22.08B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.13%,N/A,676516,N/A,826755
CTC.A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CVE,N/A,Cenovus Energy Inc Common Stock,N/A,11.33B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.22%,N/A,970505,N/A,1694100
GIB.A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CSU,N/A,Capital Senior Living Corporati,N/A,485.50M,N/A,2/1/2017,N/A,4:02pm,N/A,+0.54%,N/A,183825,N/A,390392
CPG,N/A,Crescent Point Energy Corporati,N/A,6.26B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.03%,N/A,1020872,N/A,1087960
