AMP,N/A,"Ameriprise Financial, Inc. Comm",N/A,17.87B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.72%,N/A,1035097,N/A,1184340
ABC,N/A,AmerisourceBergen Corporation C,N/A,19.50B,N/A,2/1/2017,N/A,4:00pm,N/A,+1.52%,N/A,3361963,N/A,2784580
AME,N/A,"AMETEK, Inc.",N/A,11.82B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.02%,N/A,1706087,N/A,2181830
AMGN,N/A,Amgen Inc.,N/A,118.78B,N/A,2/1/2017,N/A,4:00pm,N/A,+1.91%,N/A,3924817,N/A,3908640
APH,N/A,Amphenol Corporation Common Sto,N/A,20.55B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.32%,N/A,1492263,N/A,1185310
APC,N/A,"Anadarko Petroleum Corporation ",N/A,38.21B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.68%,N/A,6303374,N/A,4362270
ADI,N/A,"Analog Devices, Inc.",N/A,23.47B,N/A,2/1/2017,N/A,4:00pm,N/A,+1.64%,N/A,2589106,N/A,2635280
ANTM,N/A,"Anthem, Inc. Common Stock",N/A,42.36B,N/A,2/1/2017,N/A,4:01pm,N/A,+4.31%,N/A,4345162,N/A,1719690
AON,N/A,Aon plc Class A Ordinary Shares,N/A,29.25B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.36%,N/A,1750834,N/A,1103210
APA,N/A,Apache Corporation Common Stock,N/A,21.92B,N/A,2/1/2017,N/A,4:01pm,N/A,-3.41%,N/A,5847598,N/A,3320210
AIV,N/A,Apartment Investment and Manage,N/A,6.78B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.91%,N/A,786531,N/A,1304940
AAPL,N/A,Apple Inc.,N/A,686.54B,N/A,2/1/2017,N/A,4:00pm,N/A,+6.10%,N/A,111985040,N/A,31630800
AMAT,N/A,"Applied Materials, Inc.",N/A,37.71B,N/A,2/1/2017,N/A,4:00pm,N/A,+2.28%,N/A,15244891,N/A,10442900
ADM,N/A,"Archer-Daniels-Midland Company ",N/A,25.19B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.11%,N/A,2486192,N/A,3421060
AJG,N/A,Arthur J. Gallagher & Co. Commo,N/A,9.53B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.72%,N/A,755423,N/A,1104940
AIZ,N/A,"Assurant, Inc. Common Stock",N/A,5.55B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.24%,N/A,337547,N/A,434329
T,N/A,AT&T Inc.,N/A,258.21B,N/A,2/1/2017,N/A,4:01pm,N/A,-0.24%,N/A,32082528,N/A,22443600
ADSK,N/A,"Autodesk, Inc.",N/A,18.09B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.07%,N/A,1440878,N/A,2451220
ADP,N/A,"Automatic Data Processing, Inc.",N/A,42.97B,N/A,2/1/2017,N/A,4:00pm,N/A,-5.68%,N/A,8013843,N/A,2168400
AN,N/A,"AutoNation, Inc. Common Stock",N/A,5.30B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.32%,N/A,858248,N/A,955737
AZO,N/A,"AutoZone, Inc. Common Stock",N/A,20.46B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.38%,N/A,394208,N/A,326640
AVGO,N/A,Broadcom Limited,N/A,81.27B,N/A,2/1/2017,N/A,4:00pm,N/A,+2.10%,N/A,3118392,N/A,3023590
AVB,N/A,"AvalonBay Communities, Inc. Com",N/A,23.29B,N/A,2/1/2017,N/A,4:01pm,N/A,-2.13%,N/A,1181191,N/A,817137
AVY,N/A,Avery Dennison Corporation Comm,N/A,7.09B,N/A,2/1/2017,N/A,4:01pm,N/A,+9.08%,N/A,3018729,N/A,784102
BHI,N/A,Baker Hughes Incorporated Commo,N/A,26.72B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.79%,N/A,2909557,N/A,3085920
BLL,N/A,Ball Corporation Common Stock,N/A,13.38B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.35%,N/A,1626405,N/A,1220140
BAC,N/A,Bank of America Corporation Com,N/A,240.72B,N/A,2/1/2017,N/A,4:00pm,N/A,+1.10%,N/A,103630853,N/A,120905000
BCR,N/A,"C.R. Bard, Inc. Common Stock",N/A,17.37B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.43%,N/A,1062350,N/A,589827
BAX,N/A,Baxter International Inc. Commo,N/A,26.16B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.40%,N/A,6030488,N/A,3645820
BBT,N/A,BB&T Corporation Common Stock,N/A,37.20B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.52%,N/A,5641266,N/A,5452070
BDX,N/A,"Becton, Dickinson and Company C",N/A,38.00B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.95%,N/A,1716115,N/A,1183260
BBBY,N/A,Bed Bath & Beyond Inc.,N/A,5.84B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.39%,N/A,1889846,N/A,2528200
BRK-B,N/A,Berkshire Hathaway Inc. New Com,N/A,268.97M,N/A,2/1/2017,N/A,4:01pm,N/A,-0.32%,N/A,2906881,N/A,3854470
BBY,N/A,"Best Buy Co., Inc. Common Stock",N/A,13.97B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.04%,N/A,3059346,N/A,5640210
BIIB,N/A,Biogen Inc.,N/A,61.01B,N/A,2/1/2017,N/A,4:00pm,N/A,+1.61%,N/A,1699544,N/A,1826800
BLK,N/A,"BlackRock, Inc. Common Stock",N/A,60.84B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.26%,N/A,619442,N/A,698232
